track_name,lyrics
All Falls Down, oh when it all it all falls down yeah this the real one baby i m tellin you all it all falls down uh chi town stand up oh when it all it all falls down southside southside we gon set this party off right i m tellin you all it all falls down westside westside we gon set this party off right oh when it all man i promise she s so self conscious she has no idea what she doin in college that major that she majored in don t make no money but she won t drop out her parents ll look at her funny now tell me that ain t insecurr the concept of school seems so securr sophomore three yurrs ain t picked a carurr she like fuck it i ll just stay down hurr and do hair cause that s enough money to buy her a few pairs of new airs cause her baby daddy don t really care she s so precious with the peer pressure couldn t afford a car so she named her daughter alexis she had hair so long that it looked like weave then she cut it all off now she look like eve and she be dealin with some issues that you can t believe single black female addicted to retail and well oh when it all it all falls down and when it falls down who you gon call now i m tellin you all it all falls down c mon c mon and when it falls down oh when it all man i promise i m so self conscious that s why you always see me with at least one of my watches rollie s and pasha s done drove me crazy i can t even pronounce nothin pass that ver say see then i spent four hundred bucks on this just to be like nigga you ain t up on this and i can t even go to the grocery store without some ones that s clean and a shirt with a team it seem we livin the american dream but the people highest up got the lowest self esteem the prettiest people do the ugliest things for the road to riches and diamond rings we shine because they hate us floss cause they degrade us we tryna buy back our 40 acres and for that paper look how low we ll stoop even if you in a benz you still a nigga in a coupe oh when it all it all falls down come on come on i m tellin you all it all falls down and when it falls down who you gon call now oh when it all it all falls down come on come on i m tellin you all it all falls down and when it all falls down i say fuck the police that s how i treat em we buy our way out of jail but we can t buy freedom we ll buy a lot of clothes but we don t really need em things we buy to cover up what s inside cause they made us hate ourself and love they wealth that s why shorty s hollerin where the ballers at drug dealer buy jordan crackhead buy crack and the white man get paid off of all of that but i ain t even gon act holier than thou cause fuck it i went to jacob with 25 thou before i had a house and i d do it again cause i wanna be on 106 park pushin a benz i want to act ballerific like it s all terrific i got a couple past due bills i won t get specific i got a problem with spendin before i get it we all self conscious i m just the first to admit it oh when it all it all falls down c mon c mon and when it falls down who you gon call now i m tellin you all it all falls down c mon c mon and when it falls down oh when it all it all falls down southside southside we gon set this party off right i m tellin you all it all falls down westside westside we gon set this party off right oh when it all it all falls down chi town chi town we gon show em how we get down i m tellin you all it all falls down now syleena you just like a safe belt you saved my life c mon oh when it all it all falls down i m tellin you all it all falls down 
Breathe In Breathe Out, yeah breathe in breathe out if ya iced up pull ya sleeves out push a big truck pull ya keys out girls go wild and pull ya d s out breathe in breathe out let them hoes fight pull her weave out if a nigga act up pull a desert e s out when i pull the piece out niggas like peace out golly more of that bullshit ice rap i got to pologize to mos and kweli probably but is it cool to rap about gold if i told the world i copped it from ghana and mali mali first nigga with a benz and a backpack ice chain carti lens and a knapsack always said if i rapped i d say somethin significant but now i m rappin bout money hoes and rims again and it s still about the benjamins big faced hundreds and whatever other synonyms strippers named cinnamon more chips than pentium what cha gon buy next whatever new trend it is i m tryin to spend my stacks and i m so broke i look back like damn was i on crack i mean twelve platinum chains was i on that what the hell was wrong with me dog sing along with me y all yeah breathe in breathe out if ya iced up pull ya sleeves out push a big truck pull ya keys out girls go wild and pull ya d s out breathe in breathe out let them hoes fight pull her weave out if a nigga act up pull a desert e s out when i pull the piece out niggas like peace out now even though i went to college and dropped out of school quick i always had a ph d a pretty huge dick ladies tired of gettin ripped off by guys like this and givin head is like a whale that s usin a toothpick well i m in the club for a limited time act now and get some action for a free 99 later on i might charge for ménage heard her man was the boss of the floss but she still want to toss me the drawers and it ain t gon cost me because she my caddy cuz she grabbed my golf balls in the club and i m still actin calm den a muhh she asked can you drive me in the hundreds where my altima was while we drive she tellin me bout problems with her man baby i fully understand let me help you with a plan while he trickin off don t get no rich nigga give me some head that ll really piss him off yeah breathe in breathe out if ya iced up pull ya sleeves out push a big truck pull ya keys out girls go wild and pull ya d s out breathe in breathe out let them hoes fight pull her weave out if a nigga act up pull a desert e s out when i pull the piece out niggas like peace out i blow past low class niggas with no cash in the four dash six bitch you can go ask so when i go fast popo just laugh right until i run out of gas or til i go crash whatever comes first i m prepared for the worst whatever comes second i ll be there with my weapon pullin up in the lexuses one on both hand so i guess them gses was ambidextrous coulda sworn her breasteses was sendin me messages k i need a free hand mammogram i got weed drink and a handicam all of which is legal in amsterdam so say my name like candyman and i ma come and fix you up like the handyman but if you don t need a fix girl you gotta leave you can t take that all at one time ya gotta breathe yeah breathe in breathe out if ya iced up pull ya sleeves out push a big truck pull ya keys out girls go wild and pull ya d s out breathe in breathe out let them hoes fight pull her weave out if a nigga act up pull a desert e s out when i pull the piece out niggas like peace out and you say chi city scratched repeatedly
Family Business, how s your son all the things he made the team this year all all all the things things aight they said he wasn t tall enough all all that glitters is not gold and all gold is not reality real is what you lays on me ma we here we gon cook this sunday ok that s a new girlfriend this is family business and this is for the family that can t be with us and this is for my cousin locked down know the answer s in us this why i spit it in my songs so sweet like a photo of your granny s picture now that you re gone it hit us super hard on thanksgiving and christmas this can t be right yeah you heard the track i did man this can t be life somebody please say grace so i can save face and have a reason to cover my face i even made you a plate soul food know how granny do it monkey bread on the side know how the family do it when i brought it why the guard have to look all through it as kids we used to laugh who knew that life would move this fast who knew i d have to look at you through a glass and look you tell me you ain t did it then you ain t did it and if you did then that s family business and i don t care bout all the diamond rings all the diamond rings they don t mean a thing all all all the things all these fancy things i tell you that all is my weight and gold all that glitters is not gold now gold is not reality now all i know i know all these things real is what you lease on me this is family business and this is for everybody standing with us come on let s take a family grammy picture abi remember when they ain t believe in me now she like see that s my cousin on tv now we gettin it and we gon make it and they gon hate it and i m his favorite i can t deny it i m a straight rider but when we get together be electric slidin grandma get em shook up aw naw don t open the photo book up i got an aunt ruth that can t remember your name but i bet them polaroids ll send her down memory lane you know that one auntie you don t mean to be rude but every holiday nobody eating her food and you don t wanna stay there cause them your worst cousins got roaches at their crib like them your first cousins act like you ain t took a bath with your cousins fit 3 in the bed if it s 6 of y all i m talkin bout three by the head and three by the leg but you ain t have to tell my girl i used to pee in the bed rain rain rain go away let the sun come out and all the children say rain rain rain go away let the sun come out and all the children say i woke up early this morning with a new state of mind a creative way to rhyme without using knives and guns keep your nose out the sky keep your heart to god and keep your face to the risin sun all my niggas from the chi that s my family dog and my niggas ain t my guys they my family dog i feel like one day you ll understand me dog you can still love your man and be manly dog you ain t got to get heated at every house warmin sittin here grillin people like george foreman why uncle ray and aunt shiela always performin the second she storm out then he storm in y all gon sit down have a good time this reunion and drink some wine like communion and act like everything fine and if it isn t we ain t letting everybody in our family business uh all all all the diamond rings diamond rings they don t mean a thing all all all the things they don t mean a thing all all all the things all all that glitters is not gold now gold is not reality they don t mean a thing a thing all all all the things they don t mean a thing a thing a thing i don t care what they don t mean a thing all all all the things all these fancy things i tell you that all is my weight and gold all i know i know all these things all these things all these things all these things all these things clk mercedes benz all these things all these things all these things all these things all these things all these things a whole lotta money all these things all these things all these things all these things all these things all these things mommy and daddy will you please stop fighting all these things all these things all these things and i don t care why all these things all these things all these things all these things all these things let s get stevie outta jail
Get Em High, uh uh i m tryna catch the beat uh i m tryna to catch the beat i m tryna to catch the beat uh uh uh i m tryna to catch the beat n now th th throw your motherfuckin hands get em high all the girls pass the weed to yo motherfuckin man get em high now i ain t never tell you to put down your hands keep em high and if you re losin your high then smoke again keep em high n n n now my flow is in the pocket like wallets i got the bounce like hydraulics i can t call it i got the swerve like alcohol ics my freshman year i was going through hella problems til i built up the nerve to drop my ass up out of college my teacher said i se a loser i told her why don t you kill me i give a fuck if you fail me i m gonna fol low my heart and if you follow the charts or the plaques or the stacks you ain t gotta guess who s back you see i m so chi that you thought i was bashful but this bastard s flow will bash your skull and i will cut your girl like pastor tro and i don t usually smoke but pass the dro and i won t give you that money that you askin for why you think me and dame cool we assholes that s why we hear your music in fast forward cause we don t wanna hear that weak shit no mo n now th th throw your motherfuckin hands get em high all the girls pass the weed to your motherfuckin man get em high now i ain t never tell you to put down your hands keep em high and if you re losin yo high then smoke again keep em high you ve got mail n n n n n now who the hell is this e mailing me at 11 26 telling me that she 36 26 plus double d you know how girls on black planet be when they get bubbly at nyu but she hail from kansas right now she just lampin chillin on campus sent me a picture with her feelin on candice who said her favorite rapper was the late great francis w h i t it s getting late mami your screen saver say tweet so you got to call me and bring a friend for my friend his name kweli you mean talib lyrics sticks to your rib i mean that s my favorite cd that i play at my crib i mean you don t really know him why is you lyin yo kwe she don t believe me please pick up the line she gon think that i m lyin just spit a couple of lines then maybe i ll be able to give her dick all the time and get her high owww yeah i can t believe this nigga use my name for pickin up dimes but never mind i need some tracks you tryin to pull tracks out and my rhymes is finna blow you trying to blow backs out well okay you twisted my arm i ll assist with the charm ayo ain t you meet that chick at that conference with your moms and sister s the bomb boy she got the bougie behavior always got something to say like a okay playa hater anyways i don t usually fuck with the internet or chicks with birth control stuck to they arm like nicorette you really fuckin that much or tryna get off cigarettes keep em high if she think it s fly she ain t met a real nigga yet now i apologize if i come off a little inconsiderate i got the bubba kush and a sister could get a hit of it yeah yo yo get em high like noon or the moon or a room filled with smoke a hype filled with dope y all assumed i was doomed out of tune but i still filled the notes with real nigga quotes real rappers is hard to find like a remote control rap is out of used to but still got love that s why i abuse you who are not thugs rock clubs it s like tiger woods in the hood should have my own reality show called soul survivor i stole on live er niggas than you you s a bitch i got ones that are thicker than you how could i ever let your words affect me they say hip hop is dead i m here to resurrect me marsha s too sexy to even make songs like these that s why the raw don t know your name like alicia keys too many featured emcees and pro ducers is popular twelve thousand spins nobody got to coppin a album how come you the hot garbage of the year it s clear your image is looped up label got you souped up tellin you you sick when you a dick with a loose nut video hard to watch like medusa even your club record need a booster chimped up with a pimp cup illiterate nigga read the infra red across your head i m bred king like simba bolder than denver i ain t a madd rapper just a emcee with a temper you dancin for money like honey i did this my way so when the industry crash i survive like kanye spittin through wires and fires emcees retirin got your hands up get them motherfuckers higher then n now th th throw your motherfuckin hands get em high yeah all the girls pass the weed to your motherfuckin man get em high mm mm uh uh now i ain t never tell you to put down your hands keep em high keep em high keep em high uh uh and if you re losin your high then smoke again keep em high 
Graduation Day, what in the fuck was that kanye i told you to do some shit for the kids you can give me your muthafuckin graduation ticket right now you give me this muthafuckin robe before you catch some senioritis you will not walk across that stage you won t slide across that stage motherfucker can t pull you across that stage kanye who told you see i told you to do something uplifting i m tryna get you out here with these white people and this how you re gonna do me you know what you s a nigga and i don t mean that in no nice way had little kids sing about the shit the joke s on you you throw your motherfucking hands in the air and wave goodbye to every motherfucking body cause you getting the fuck out of this campus what the fuck you gon do now kanye i m no longer confused but don t tell anybody i m about to break the rules but don t tell anybody i got something better than school so don t tell anybody my momma would kill me so don t tell anybody she wants me to get a good ass job just like everybody she ain t walked in my shoes i m just not everybody
I'll Fly Away, one glad morning when this life is over i ll fly away to a land where joy shall never end i ll fly away i ll fly away oh glory i ll fly away when i die hallelujah bye and bye i ll fly away
Intro, kanye can i talk to you for a minute me and the other faculty members was wonderin could you do a lil som somethin beautiful somethin that the kids are gon love when they hear it that s gon make them start jumpin up and down and sharin candy and stuff think you could probably do somethin for the kids for graduation to sing 
Jesus Walks, we at war we at war with terrorism racism but most of all we at war with ourselves jesus walk god show me the way because the devil s tryna break me down jesus walk with me you know what the midwest is young and restless where restless niggas might snatch your necklace and next these niggas might jack your lexus somebody tell these niggas who kanye west is i walk through the valley of the chi where death is top floor the view alone will leave you breathless gasps try to catch it gasps it s kinda hard getting choked by detectives yeah yeah now check the method they be askin us questions harass and arrest us sayin we eat pieces of shit like you for breakfast huh y all eat pieces of shit what s the basis we ain t going nowhere but got suits and cases a trunk full of coke rental car from avis my mama used to say only jesus can save us well mama i know i act a fool but i ll be gone til november i got packs to move i hope jesus walk god show me the way because the devil s tryna break me down jesus walk with me the only thing that i pray is that my feet don t fail me now jesus walk and i don t think there s nothin i can do now to right my wrongs jesus walk with me i wanna talk to god but i m afraid cause we ain t spoke in so long jesus walk god show me the way because the devil s tryna break me down jesus walk with me the only thing that i pray is that my feet don t fail me now jesus walk and i don t think there s nothin i can do now to right my wrongs jesus walk with me i wanna talk to god but i m afraid cause we ain t spoke in so long so long so long jesus walk with me to the hustlers killers murderers drug dealers even the scrippers jesus walks for them to the victims of welfare feel we livin in hell here hell yeah jesus walks for them now hear ye hear ye want to see thee more clearly i know he hear me when my feet get weary cause we re the almost nearly extinct we rappers is role models we rap we don t think i ain t here to argue about his facial features or here to convert atheists into believers i m just tryna say the way school need teachers the way kathie lee needed regis that s the way i need jesus so here go my single dawg radio needs this they say you can rap about anything except for jesus that means guns sex lies videotape but if i talk about god my record won t get played huh well if this take away from my spins which ll probably take away from my ends then i hope this take away from my sins and bring the day that i m dreamin about next time i m in the club everybody screamin out jesus walk god show me the way because the devil s tryna break me down jesus walk with me the only thing that i pray is that my feet don t fail me now 
Lil Jimmy Skit,hey jimmy where you going i don t know where i m goin my dad died and uh he left me his degrees my mom would always say dad why don t you work but he just kept learning all the other kids parents were working and saving up money for school and i was actually in school all while my dad was in school he was so greedy with degrees he took my degree and now i m just glad he left me these because all the regular homeless people have newspaper and look what i have these are documented my father left them to me and i m going to leave them to my kids i m going to learn too i m going to get super smart so i too can die without money but i ll be the smartest dead guy who has that 
Never Let Me Down, when it comes to being true at least true to me one thing i ve found one thing i found oh no you ll never let me down get up i get down get up i get down get up i get down get up i get down get up i get down get up i get down yo first i snatched the streets then i snatched the charts first i had they ear now i have they heart rappers came and went i ve been here from the start i seen them put it together watched them take it apart seen the rovers roll up with ribbons i seen them re po d re sold then re driven so when i reload he holds number one position when you hot i m hot and when your feet cold mines is sizzling it s plain to see niggas can t fuck with me cause i ma be that nigga for life this is not an image this is god given this is hard livin mixed with cristal sippin it s the most consistent hov give you the most hits you can fit inside a whole disc and nigga i m home on these charts y all niggas visitin it s hov tradition jeff gordon of rap i m back to claim pole position holla at ya boy when it comes to being true at least true to me one thing i ve found one thing i found oh no you ll never let me down get up i get down get up i get down get up i get down get up i get down get up i get down get up i get down for my grandfather who took my mama made her sit in that seat where white folks ain t want us to eat at the tender age of 6 she was arrested for the sit ins and with that in my blood i was born to be different now niggas can t make it to ballots to choose leadership but we can make it to jacob s and to the dealership that s why i hear new music and i just don t be feelin it racism s still alive they just be concealin it but i know they don t want me in the damn club they even made me show id to get inside of sam s club i done did dirt and went to church to get my hands scrubbed swear i ve been baptized least three or four times but in the land where niggas praise yukons and getting paid it s gonna take a lot more than coupons to get us saved like it take a lot more than doo rags to get you waves nothing sad as that day my girl s father passed away so i promised to mr rainey i m gonna marry your daughter and you know i gotta thank you for the way that she was brought up and i know that you were smiling when you see the car i bought her you sent tears from heaven when you seen my car get balled up but i can t complain what the accident did to my left eye cause look what an accident did to left eye first aaliyah now romeo must die i know i got angels watching me from the other side when it comes to being true at least true to me one thing i ve found one thing i found oh no you ll never let me down get up i get down get up i get down get up i get down get up i get down get up i get down get up i get down we are all here for a reason on a particular path you don t need a curriculum to know that you re a part of the math cats think i m delirious but i m so damn serious that s why i expose my soul to the globe the world i m trying to make it better for these little boys and girls i m not just another individual my spirit is a part of this that s why i get spiritual but i get my hymns from him so it s not me it s he that s lyrical i m not a miracle i m a heaven sent instrument my rhythmatic regiment navigates melodic notes for your soul and your mental that s why i m instrumental vibrations is what i m into yeah i need my loot by rent day but that ain t what gives me the heart of kunta kinte i m trying to get us us free like cinque i can t stop that s why i m hot determination dedication motivation i m talking to you of my many inspirations when i say i can t let you or self down if i were on the highest cliff on the highest riff and if you slipped off the side and clinched on to your life in my grip i would never ever let you down and when these words are found let it be known that god s penmanship has been signed with a language called love that s why my breath is felt by the deaf and while my words are heard and confined to the ears of the blind i too dream in color and in rhyme so i guess i m one of a kind in a full house cause whenever i open my heart my soul or my mouth a touch of god reigns out take em to church when it comes to being true at least true to me one thing i found one thing i found oh no you ll never let me down get up i get get up i get get up i get get up i get get up i get get up i get down who else you know been hot this long oh yeah we ain t finished started from nothing but he got this strong the roc is in the building built the roc from a pebble peddled rock before i met you pedaled bikes got my nephews pedal bikes because they special wooooo let you tell it man i m falling well somebody must have caught him cause every fourth quarter i like to mike jordan them number one albums what i got like four of them more of them on the way the eighth wonder on the way clear the way i m here to stay y all can save the chitter chat this and that this is jay dissing jay will get you maced when i start spitting them lyrics niggas get very religious six hail marys please father forgive us young the archbishop the pope john paul of y all niggas the way y all all follow jigga hov s a living legend and i ll tell you why everybody wanna be hov and hov s still alive
